IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
SA_0000001751,"Alcohol, average daily intake in grams among drinkers with 95%CI",numeric,EMR,Eastern Mediterranean,Country,ARE,United Arab Emirates,Year,2016,true,Sex,Female,FMLE,,,,,,,,,,16.5,,,15.6,,17.5,16.5 [15.6 – 17.5],,,EN,2018-08-24T03:00:00.000Z
SA_0000001751,"Alcohol, average daily intake in grams among drinkers with 95%CI",numeric,EUR,Europe,Country,GBR,United Kingdom of Great Britain and Northern Ireland,Year,2016,true,Sex,Female,FMLE,,,,,,,,,,16.5,,,16.1,,17,16.5 [16.1 – 17],,,EN,2018-08-24T03:00:00.000Z
SA_0000001751,"Alcohol, average daily intake in grams among drinkers with 95%CI",numeric,AMR,Americas,Country,BLZ,Belize,Year,2016,true,Sex,Female,FMLE,,,,,,,,,,16.6,,,15.9,,17.2,16.6 [15.9 – 17.2],,,EN,2018-08-24T03:00:00.000Z
SA_0000001751,"Alcohol, average daily intake in grams among drinkers with 95%CI",numeric,AFR,Africa,Country,GNQ,Equatorial Guinea,Year,2016,true,Sex,Female,FMLE,,,,,,,,,,16.6,,,16.1,,17.1,16.6 [16.1 – 17.1],,,EN,2018-08-24T03:00:00.000Z
SA_0000001751,"Alcohol, average daily intake in grams among drinkers with 95%CI",numeric,AMR,Americas,Country,PAN,Panama,Year,2016,true,Sex,Female,FMLE,,,,,,,,,,16.6,,,16.1,,17.2,16.6 [16.1 – 17.2],,,EN,2018-08-24T03:00:00.000Z
SA_0000001751,"Alcohol, average daily intake in grams among drinkers with 95%CI",numeric,AMR,Americas,Country,HTI,Haiti,Year,2016,true,Sex,Female,FMLE,,,,,,,,,,16.7,,,16.4,,17,16.7 [16.4 – 17],,,EN,2018-08-24T03:00:00.000Z
SA_0000001751,"Alcohol, average daily intake in grams among drinkers with 95%CI",numeric,AMR,Americas,Country,URY,Uruguay,Year,2016,true,Sex,Female,FMLE,,,,,,,,,,16.8,,,16.2,,17.4,16.8 [16.2 – 17.4],,,EN,2018-08-24T03:00:00.000Z
SA_0000001751,"Alcohol, average daily intake in grams among drinkers with 95%CI",numeric,EUR,Europe,Country,BEL,Belgium,Year,2016,true,Sex,Female,FMLE,,,,,,,,,,16.8,,,16.4,,17.3,16.8 [16.4 – 17.3],,,EN,2018-08-24T03:00:00.000Z
SA_0000001751,"Alcohol, average daily intake in grams among drinkers with 95%CI",numeric,AFR,Africa,Country,CPV,Cabo Verde,Year,2016,true,Sex,Female,FMLE,,,,,,,,,,17,,,16.3,,17.7,17 [16.3 – 17.7],,,EN,2018-08-24T03:00:00.000Z
SA_0000001751,"Alcohol, average daily intake in grams among drinkers with 95%CI",numeric,EUR,Europe,Country,EST,Estonia,Year,2016,true,Sex,Female,FMLE,,,,,,,,,,17,,,16.4,,17.6,17 [16.4 – 17.6],,,EN,2018-08-24T03:00:00.000Z
